content,data_clean_content,slang_replacement_content,tokenized_content,remove_stopwords_content,stemmed_content
Udah sering belanja trs tapi setiap pengajuan tidak lolos trs.. jadi males belanja. Uninstal aja,udah sering belanja trs tapi setiap pengajuan tidak lolos trs jadi males belanja uninstal aja,sudah sering belanja terus  tapi setiap pengajuan tidak lolos terus  jadi males belanja uninstal saja ,"['sudah', 'sering', 'belanja', 'terus', 'tapi', 'setiap', 'pengajuan', 'tidak', 'lolos', 'terus', 'jadi', 'males', 'belanja', 'uninstal', 'saja']","['sering', 'belanja', 'terus', 'pengajuan', 'tidak', 'lolos', 'terus', 'jadi', 'males', 'belanja', 'uninstal']","['sering', 'belanja', 'terus', 'aju', 'tidak', 'lolos', 'terus', 'jadi', 'males', 'belanja', 'uninstal']"
Semenjak di upgrade.. SHOPEE JADI LEMOT,semenjak di upgrade shopee jadi lemot,semenjak di upgrade shopee jadi lemot,"['semenjak', 'di', 'upgrade', 'shopee', 'jadi', 'lemot']","['semenjak', 'upgrade', 'shopee', 'jadi', 'lemot']","['semenjak', 'upgrade', 'shopee', 'jadi', 'lot']"
Penyelesaian masalah sangat buruk,penyelesaian masalah sangat buruk,penyelesaian masalah sangat buruk,"['penyelesaian', 'masalah', 'sangat', 'buruk']","['penyelesaian', 'masalah', 'sangat', 'buruk']","['selesai', 'masalah', 'sangat', 'buruk']"
Apk engga😇 jls,apk engga wajah malaikat jls,apk tidak  wajah malaikat jls,"['apk', 'tidak', 'wajah', 'malaikat', 'jls']","['apk', 'tidak', 'wajah', 'malaikat', 'jls']","['apk', 'tidak', 'wajah', 'malaikat', 'jls']"
Lelet stress. Udah update terbaru tetap aja lemot,lelet stress udah update terbaru tetap aja lemot,lelet stress sudah update terbaru tetap saja  lemot,"['lelet', 'stress', 'sudah', 'update', 'terbaru', 'tetap', 'saja', 'lemot']","['lelet', 'stress', 'update', 'terbaru', 'tetap', 'lemot']","['lelet', 'stress', 'update', 'baru', 'tetap', 'lot']"
Fitur lengkap tapi apk berat,fitur lengkap tapi apk berat,fitur lengkap tapi apk berat,"['fitur', 'lengkap', 'tapi', 'apk', 'berat']","['fitur', 'lengkap', 'apk', 'berat']","['fitur', 'lengkap', 'apk', 'berat']"
Shopee express jasa pengiriman lelet sekali.nyesel pakai shopee express.. masa Jakarta Kalimantan barat lebih dari satu Minggu. Bobrok ni expedisi,shopee express jasa pengiriman lelet sekali nyesel pakai shopee express masa jakarta kalimantan barat lebih dari satu minggu bobrok ni expedisi,shopee express jasa pengiriman lelet sekali menyesal  pakai shopee express masa jakarta kalimantan barat lebih dari satu minggu bobrok ini  expedisi,"['shopee', 'express', 'jasa', 'pengiriman', 'lelet', 'sekali', 'menyesal', 'pakai', 'shopee', 'express', 'masa', 'jakarta', 'kalimantan', 'barat', 'lebih', 'dari', 'satu', 'minggu', 'bobrok', 'ini', 'expedisi']","['shopee', 'express', 'jasa', 'pengiriman', 'lelet', 'sekali', 'menyesal', 'pakai', 'shopee', 'express', 'masa', 'jakarta', 'kalimantan', 'barat', 'lebih', 'satu', 'minggu', 'bobrok', 'expedisi']","['shopee', 'express', 'jasa', 'kirim', 'lelet', 'sekali', 'sesal', 'pakai', 'shopee', 'express', 'masa', 'jakarta', 'kalimantan', 'barat', 'lebih', 'satu', 'minggu', 'bobrok', 'expedisi']"
"Bintang satu aja,,,, karena paylater ku d matikan pihak Shopee,, cuma telat berapa hari,,, dan yg penting d bayar juga kan,,, terimakasih",bintang satu aja karena paylater ku d matikan pihak shopee cuma telat berapa hari dan yg penting d bayar juga kan terimakasih,bintang satu saja  karena paylater ku d matikan pihak shopee cuma telat berapa hari dan yang  penting d bayar juga kan terimakasih,"['bintang', 'satu', 'saja', 'karena', 'paylater', 'ku', 'd', 'matikan', 'pihak', 'shopee', 'cuma', 'telat', 'berapa', 'hari', 'dan', 'yang', 'penting', 'd', 'bayar', 'juga', 'kan', 'terimakasih']","['bintang', 'satu', 'paylater', 'ku', 'd', 'matikan', 'pihak', 'shopee', 'cuma', 'telat', 'berapa', 'hari', 'penting', 'd', 'bayar', 'kan', 'terimakasih']","['bintang', 'satu', 'paylater', 'ku', 'd', 'mati', 'pihak', 'shopee', 'cuma', 'telat', 'berapa', 'hari', 'penting', 'd', 'bayar', 'kan', 'terimakasih']"
Ga Kya dlu ada akun ff nya,ga kya dlu ada akun ff nya,tidak kya dulu  ada akun ff nya,"['tidak', 'kya', 'dulu', 'ada', 'akun', 'ff', 'nya']","['tidak', 'kya', 'dulu', 'akun', 'ff', 'nya']","['tidak', 'kya', 'dulu', 'akun', 'ff', 'nya']"
Aplikasi lemot,aplikasi lemot,aplikasi lemot,"['aplikasi', 'lemot']","['aplikasi', 'lemot']","['aplikasi', 'lot']"
"Makin lemot saja nih koneksi shopeee, buka toko Merah sebelah aman aman aja",makin lemot saja nih koneksi shope buka toko merah sebelah aman aman aja,makin lemot saja nih koneksi shope buka toko merah sebelah aman aman saja ,"['makin', 'lemot', 'saja', 'nih', 'koneksi', 'shope', 'buka', 'toko', 'merah', 'sebelah', 'aman', 'aman', 'saja']","['makin', 'lemot', 'nih', 'koneksi', 'shope', 'buka', 'toko', 'merah', 'sebelah', 'aman', 'aman']","['makin', 'lot', 'nih', 'koneksi', 'shope', 'buka', 'toko', 'merah', 'belah', 'aman', 'aman']"
Lemot banget sekarang.,lemot banget sekarang,lemot sekali  sekarang,"['lemot', 'sekali', 'sekarang']","['lemot', 'sekali', 'sekarang']","['lot', 'sekali', 'sekarang']"
"Shopee memang payah,paket sepatu dari Jakarta kebatam,15 hari belum sampai,kurirnya shopee xpress hemat,nggak sesuai dengan namanya,bea 39rb,kurir lain aja 3 hari sudah sampai,malas belanja dishopee sekarang.",shopee memang payah paket sepatu dari jakarta kebatam hari belum sampai kurirnya shopee xpress hemat nggak sesuai dengan namanya bea rb kurir lain aja hari sudah sampai malas belanja dishopee sekarang,shopee memang payah paket sepatu dari jakarta kebatam hari belum sampai kurirnya shopee xpress hemat tidak sesuai dengan namanya bea ribu  kurir lain saja  hari sudah sampai malas belanja dishopee sekarang,"['shopee', 'memang', 'payah', 'paket', 'sepatu', 'dari', 'jakarta', 'kebatam', 'hari', 'belum', 'sampai', 'kurirnya', 'shopee', 'xpress', 'hemat', 'tidak', 'sesuai', 'dengan', 'namanya', 'bea', 'ribu', 'kurir', 'lain', 'saja', 'hari', 'sudah', 'sampai', 'malas', 'belanja', 'dishopee', 'sekarang']","['shopee', 'memang', 'payah', 'paket', 'sepatu', 'jakarta', 'kebatam', 'hari', 'belum', 'kurirnya', 'shopee', 'xpress', 'hemat', 'tidak', 'sesuai', 'namanya', 'bea', 'ribu', 'kurir', 'hari', 'malas', 'belanja', 'dishopee', 'sekarang']","['shopee', 'memang', 'payah', 'paket', 'sepatu', 'jakarta', 'kebatam', 'hari', 'belum', 'kurir', 'shopee', 'xpress', 'hemat', 'tidak', 'sesuai', 'nama', 'bea', 'ribu', 'kurir', 'hari', 'malas', 'belanja', 'dishopee', 'sekarang']"
Apk lintah darat...banyak ongkos tambahan,apk lintah darat banyak ongkos tambahan,apk lintah darat banyak ongkos tambahan,"['apk', 'lintah', 'darat', 'banyak', 'ongkos', 'tambahan']","['apk', 'lintah', 'darat', 'banyak', 'ongkos', 'tambahan']","['apk', 'lintah', 'darat', 'banyak', 'ongkos', 'tambah']"
Aplikasi lemot... pencarian tidak akurat... Jelek bgt sekarng.tolong perbaiki agar bintang bisa full,aplikasi lemot pencarian tidak akurat jelek bgt sekarng tolong perbaiki agar bintang bisa full,aplikasi lemot pencarian tidak akurat jelek sangat  sekarng tolong perbaiki agar bintang bisa full,"['aplikasi', 'lemot', 'pencarian', 'tidak', 'akurat', 'jelek', 'sangat', 'sekarng', 'tolong', 'perbaiki', 'agar', 'bintang', 'bisa', 'full']","['aplikasi', 'lemot', 'pencarian', 'tidak', 'akurat', 'jelek', 'sangat', 'sekarng', 'perbaiki', 'bintang', 'full']","['aplikasi', 'lot', 'cari', 'tidak', 'akurat', 'jelek', 'sangat', 'sekarng', 'baik', 'bintang', 'full']"
Notifikasi Shopee video ganggu. Stop jadi TikTok wannabe. Fokus aja ke e-commerce,notifikasi shopee video ganggu stop jadi tiktok wannabe fokus aja ke e commerce,notifikasi shopee video ganggu stop jadi tiktok wannabe fokus saja  ke e commerce,"['notifikasi', 'shopee', 'video', 'ganggu', 'stop', 'jadi', 'tiktok', 'wannabe', 'fokus', 'saja', 'ke', 'e', 'commerce']","['notifikasi', 'shopee', 'video', 'ganggu', 'stop', 'jadi', 'tiktok', 'wannabe', 'fokus', 'e', 'commerce']","['notifikasi', 'shopee', 'video', 'ganggu', 'stop', 'jadi', 'tiktok', 'wannabe', 'fokus', 'e', 'commerce']"
"Kocakk nii asli, spinjam ga bs , skg sppaylater pun di nonaktfkan ga jelas bgt bisa tb2 bgtu. Bukan makin lbh baik stlh di updt malah makin jadi buruk nya hahaa",kocakk nii asli spinjam ga bs skg sppaylater pun di nonaktfkan ga jelas bgt bisa tb bgtu bukan makin lbh baik stlh di updt malah makin jadi buruk nya hahaa,kocakk nii asli spinjam tidak bisa skg sppaylater pun di nonaktfkan tidak jelas sangat  bisa tb begitu  bukan makin lebih  baik setelah  di updt malah makin jadi buruk nya hahaa,"['kocakk', 'nii', 'asli', 'spinjam', 'tidak', 'bisa', 'skg', 'sppaylater', 'pun', 'di', 'nonaktfkan', 'tidak', 'jelas', 'sangat', 'bisa', 'tb', 'begitu', 'bukan', 'makin', 'lebih', 'baik', 'setelah', 'di', 'updt', 'malah', 'makin', 'jadi', 'buruk', 'nya', 'hahaa']","['kocakk', 'nii', 'asli', 'spinjam', 'tidak', 'skg', 'sppaylater', 'nonaktfkan', 'tidak', 'jelas', 'sangat', 'tb', 'bukan', 'makin', 'lebih', 'baik', 'updt', 'malah', 'makin', 'jadi', 'buruk', 'nya', 'hahaa']","['kocakk', 'nii', 'asli', 'spinjam', 'tidak', 'skg', 'sppaylater', 'nonaktfkan', 'tidak', 'jelas', 'sangat', 'tb', 'bukan', 'makin', 'lebih', 'baik', 'updt', 'malah', 'makin', 'jadi', 'buruk', 'nya', 'hahaa']"
Lemotttttt parahhhhhhhhhhh,lemot parah,lemot parah,"['lemot', 'parah']","['lemot', 'parah']","['lot', 'parah']"
Saya kira cuma saya yang merasakan trouble pada aplikasi ini... Ternyata hampir semua. Makin diupdate makin kacau... Shoope sekarang berat karena ada video kaya tik tok segala macam. Nggak nyaman,saya kira cuma saya yang merasakan trouble pada aplikasi ini ternyata hampir semua makin diupdate makin kacau shoope sekarang berat karena ada video kaya tik tok segala macam nggak nyaman,saya kira cuma saya yang merasakan trouble pada aplikasi ini ternyata hampir semua makin diupdate makin kacau shoope sekarang berat karena ada video kaya tik tok segala macam tidak nyaman,"['saya', 'kira', 'cuma', 'saya', 'yang', 'merasakan', 'trouble', 'pada', 'aplikasi', 'ini', 'ternyata', 'hampir', 'semua', 'makin', 'diupdate', 'makin', 'kacau', 'shoope', 'sekarang', 'berat', 'karena', 'ada', 'video', 'kaya', 'tik', 'tok', 'segala', 'macam', 'tidak', 'nyaman']","['kira', 'cuma', 'merasakan', 'trouble', 'aplikasi', 'ternyata', 'hampir', 'semua', 'makin', 'diupdate', 'makin', 'kacau', 'shoope', 'sekarang', 'berat', 'video', 'kaya', 'tik', 'tok', 'segala', 'macam', 'tidak', 'nyaman']","['kira', 'cuma', 'rasa', 'trouble', 'aplikasi', 'nyata', 'hampir', 'semua', 'makin', 'diupdate', 'makin', 'kacau', 'shoope', 'sekarang', 'berat', 'video', 'kaya', 'tik', 'tok', 'segala', 'macam', 'tidak', 'nyaman']"
eror mulu,eror mulu,eror terus ,"['eror', 'terus']","['eror', 'terus']","['eror', 'terus']"
"Sumpah aplikasi sering ngelag, trs tiba"" log out sendiri. Tlg dibenerin yah! Susah tau buat yang lupa email sama pasword nya!",sumpah aplikasi sering ngelag trs tiba log out sendiri tlg dibenerin yah susah tau buat yang lupa email sama pasword nya,sumpah aplikasi sering ngelag terus  tiba log out sendiri tolong  dibenerin yah susah tahu buat yang lupa email sama pasword nya,"['sumpah', 'aplikasi', 'sering', 'ngelag', 'terus', 'tiba', 'log', 'out', 'sendiri', 'tolong', 'dibenerin', 'yah', 'susah', 'tahu', 'buat', 'yang', 'lupa', 'email', 'sama', 'pasword', 'nya']","['sumpah', 'aplikasi', 'sering', 'ngelag', 'terus', 'tiba', 'log', 'out', 'sendiri', 'dibenerin', 'yah', 'susah', 'tahu', 'buat', 'lupa', 'email', 'sama', 'pasword', 'nya']","['sumpah', 'aplikasi', 'sering', 'ngelag', 'terus', 'tiba', 'log', 'out', 'sendiri', 'dibenerin', 'yah', 'susah', 'tahu', 'buat', 'lupa', 'email', 'sama', 'pasword', 'nya']"
Shopee ngebug apa gimana sih? Uang dari shopee video bisa ditarik ke spay tapi dari spay gabisa ditransfer ke rekening. Parah. Rating ku ubah kalau sudah diperbaiki,shopee ngebug apa gimana sih uang dari shopee video bisa ditarik ke spay tapi dari spay gabisa ditransfer ke rekening parah rating ku ubah kalau sudah diperbaiki,shopee ngebug apa gimana sih uang dari shopee video bisa ditarik ke spay tapi dari spay tidak bisa ditransfer ke rekening parah rating ku ubah kalau sudah diperbaiki,"['shopee', 'ngebug', 'apa', 'gimana', 'sih', 'uang', 'dari', 'shopee', 'video', 'bisa', 'ditarik', 'ke', 'spay', 'tapi', 'dari', 'spay', 'tidak', 'bisa', 'ditransfer', 'ke', 'rekening', 'parah', 'rating', 'ku', 'ubah', 'kalau', 'sudah', 'diperbaiki']","['shopee', 'ngebug', 'apa', 'gimana', 'sih', 'uang', 'shopee', 'video', 'ditarik', 'spay', 'spay', 'tidak', 'ditransfer', 'rekening', 'parah', 'rating', 'ku', 'ubah', 'kalau', 'diperbaiki']","['shopee', 'ngebug', 'apa', 'gimana', 'sih', 'uang', 'shopee', 'video', 'tarik', 'spay', 'spay', 'tidak', 'transfer', 'rekening', 'parah', 'rating', 'ku', 'ubah', 'kalau', 'baik']"
"Pelayanan burik,,konsumen cm jadi target pasar doang,seller banyak yg cm nyari cuan tanpa melayani konsumen dgn benar Komplen ga ditanggepin Merdeka deh buat seller Buat pembeli mau protes juga ga bakalan digubris Makasih pengalamannya,ga bakalan pesennlagi d aplikasi ini",pelayanan burik konsumen cm jadi target pasar doang seller banyak yg cm nyari cuan tanpa melayani konsumen dgn benar komplen ga ditanggepin merdeka deh buat seller buat pembeli mau protes juga ga bakalan digubris makasih pengalamannya ga bakalan pesennlagi d aplikasi ini,pelayanan burik konsumen cuma  jadi target pasar saja  seller banyak yang  cuma  cari  cuan tanpa melayani konsumen dengan  benar komplen tidak ditanggepin merdeka deh buat seller buat pembeli mau protes juga tidak akan  digubris makasih pengalamannya tidak akan  pesennlagi d aplikasi ini,"['pelayanan', 'burik', 'konsumen', 'cuma', 'jadi', 'target', 'pasar', 'saja', 'seller', 'banyak', 'yang', 'cuma', 'cari', 'cuan', 'tanpa', 'melayani', 'konsumen', 'dengan', 'benar', 'komplen', 'tidak', 'ditanggepin', 'merdeka', 'deh', 'buat', 'seller', 'buat', 'pembeli', 'mau', 'protes', 'juga', 'tidak', 'akan', 'digubris', 'makasih', 'pengalamannya', 'tidak', 'akan', 'pesennlagi', 'd', 'aplikasi', 'ini']","['pelayanan', 'burik', 'konsumen', 'cuma', 'jadi', 'target', 'pasar', 'seller', 'banyak', 'cuma', 'cari', 'cuan', 'melayani', 'konsumen', 'benar', 'komplen', 'tidak', 'ditanggepin', 'merdeka', 'deh', 'buat', 'seller', 'buat', 'pembeli', 'mau', 'protes', 'tidak', 'digubris', 'makasih', 'pengalamannya', 'tidak', 'pesennlagi', 'd', 'aplikasi']","['layan', 'burik', 'konsumen', 'cuma', 'jadi', 'target', 'pasar', 'seller', 'banyak', 'cuma', 'cari', 'cuan', 'layan', 'konsumen', 'benar', 'komplen', 'tidak', 'ditanggepin', 'merdeka', 'deh', 'buat', 'seller', 'buat', 'beli', 'mau', 'protes', 'tidak', 'gubris', 'makasih', 'alam', 'tidak', 'pesennlagi', 'd', 'aplikasi']"
Gj,gj,gj,['gj'],['gj'],['gj']
Udah lama ga belanja di shopee pas mua check out lupa pin mau ganti pin ga bisa alasan keamanan ini aplikasi gimana si gua mau belanja susah woooyyy,udah lama ga belanja di shopee pas mua check out lupa pin mau ganti pin ga bisa alasan keamanan ini aplikasi gimana si gua mau belanja susah woy,sudah lama tidak belanja di shopee pas mua check out lupa pin mau ganti pin tidak bisa alasan keamanan ini aplikasi gimana si saya  mau belanja susah woy,"['sudah', 'lama', 'tidak', 'belanja', 'di', 'shopee', 'pas', 'mua', 'check', 'out', 'lupa', 'pin', 'mau', 'ganti', 'pin', 'tidak', 'bisa', 'alasan', 'keamanan', 'ini', 'aplikasi', 'gimana', 'si', 'saya', 'mau', 'belanja', 'susah', 'woy']","['lama', 'tidak', 'belanja', 'shopee', 'pas', 'mua', 'check', 'out', 'lupa', 'pin', 'mau', 'ganti', 'pin', 'tidak', 'alasan', 'keamanan', 'aplikasi', 'gimana', 'si', 'mau', 'belanja', 'susah', 'woy']","['lama', 'tidak', 'belanja', 'shopee', 'pas', 'mua', 'check', 'out', 'lupa', 'pin', 'mau', 'ganti', 'pin', 'tidak', 'alas', 'aman', 'aplikasi', 'gimana', 'si', 'mau', 'belanja', 'susah', 'woy']"
"Makin parah, Saat hendak buka aplikasi selalu eror Dan selalu ada kata kata halaman sedang dalam perbaikan setelah itu kembali ke halaman utama gimana mw masuk selalu kenak tolak terus",makin parah saat hendak buka aplikasi selalu eror dan selalu ada kata kata halaman sedang dalam perbaikan setelah itu kembali ke halaman utama gimana mw masuk selalu kenak tolak terus,makin parah saat hendak buka aplikasi selalu eror dan selalu ada kata kata halaman sedang dalam perbaikan setelah itu kembali ke halaman utama gimana mau masuk selalu kenak tolak terus,"['makin', 'parah', 'saat', 'hendak', 'buka', 'aplikasi', 'selalu', 'eror', 'dan', 'selalu', 'ada', 'kata', 'kata', 'halaman', 'sedang', 'dalam', 'perbaikan', 'setelah', 'itu', 'kembali', 'ke', 'halaman', 'utama', 'gimana', 'mau', 'masuk', 'selalu', 'kenak', 'tolak', 'terus']","['makin', 'parah', 'hendak', 'buka', 'aplikasi', 'selalu', 'eror', 'selalu', 'kata', 'kata', 'halaman', 'sedang', 'perbaikan', 'halaman', 'utama', 'gimana', 'mau', 'masuk', 'selalu', 'kenak', 'tolak', 'terus']","['makin', 'parah', 'hendak', 'buka', 'aplikasi', 'selalu', 'eror', 'selalu', 'kata', 'kata', 'halaman', 'sedang', 'baik', 'halaman', 'utama', 'gimana', 'mau', 'masuk', 'selalu', 'nak', 'tolak', 'terus']"
Shopee lemooooooooootttttttttt bikin emosiiiii tiap buka aplikasinya !!!!!!!!!!!!!!!!!!!!!!!,shopee lemot bikin emosi tiap buka aplikasinya,shopee lemot bikin emosi tiap buka aplikasinya,"['shopee', 'lemot', 'bikin', 'emosi', 'tiap', 'buka', 'aplikasinya']","['shopee', 'lemot', 'bikin', 'emosi', 'tiap', 'buka', 'aplikasinya']","['shopee', 'lot', 'bikin', 'emosi', 'tiap', 'buka', 'aplikasi']"
Tiap buka produk cuma blank putih ga ada yg bisa dilihat atau klik.,tiap buka produk cuma blank putih ga ada yg bisa dilihat atau klik,tiap buka produk cuma blank putih tidak ada yang  bisa dilihat atau klik,"['tiap', 'buka', 'produk', 'cuma', 'blank', 'putih', 'tidak', 'ada', 'yang', 'bisa', 'dilihat', 'atau', 'klik']","['tiap', 'buka', 'produk', 'cuma', 'blank', 'putih', 'tidak', 'dilihat', 'klik']","['tiap', 'buka', 'produk', 'cuma', 'blank', 'putih', 'tidak', 'lihat', 'klik']"
Bohong,bohong,bohong,['bohong'],['bohong'],['bohong']
"Kembalikan shope yg dulu Yg geratis ongkir tampa minimal belanja Tanpa spaylatger dan spipay, shoppe adminnya ga ramah masalah saya tentang komisi affiliate selama 5 bulan tidak cair dan tidakterselesaikan",kembalikan shope yg dulu yg geratis ongkir tampa minimal belanja tanpa spaylatger dan spipay shoppe adminnya ga ramah masalah saya tentang komisi affiliate selama bulan tidak cair dan tidakterselesaikan,kembalikan shope yang  dulu yang  geratis ongkir tampa minimal belanja tanpa spaylatger dan spipay shoppe adminnya tidak ramah masalah saya tentang komisi affiliate selama bulan tidak cair dan tidakterselesaikan,"['kembalikan', 'shope', 'yang', 'dulu', 'yang', 'geratis', 'ongkir', 'tampa', 'minimal', 'belanja', 'tanpa', 'spaylatger', 'dan', 'spipay', 'shoppe', 'adminnya', 'tidak', 'ramah', 'masalah', 'saya', 'tentang', 'komisi', 'affiliate', 'selama', 'bulan', 'tidak', 'cair', 'dan', 'tidakterselesaikan']","['kembalikan', 'shope', 'dulu', 'geratis', 'ongkir', 'tampa', 'minimal', 'belanja', 'spaylatger', 'spipay', 'shoppe', 'adminnya', 'tidak', 'ramah', 'masalah', 'komisi', 'affiliate', 'selama', 'bulan', 'tidak', 'cair', 'tidakterselesaikan']","['kembali', 'shope', 'dulu', 'gerat', 'ongkir', 'tampa', 'minimal', 'belanja', 'spaylatger', 'spipay', 'shoppe', 'adminnya', 'tidak', 'ramah', 'masalah', 'komisi', 'affiliate', 'lama', 'bulan', 'tidak', 'cair', 'tidakterselesaikan']"
Tekek,tekek,tekek,['tekek'],['tekek'],['tekek']
Ngeleg gjls bngt,ngeleg gjls bngt,ngeleg gjls sangat ,"['ngeleg', 'gjls', 'sangat']","['ngeleg', 'gjls', 'sangat']","['ngeleg', 'gjls', 'sangat']"
pesen barang gasampe2,pesen barang gasampe,pesan  barang gasampe,"['pesan', 'barang', 'gasampe']","['pesan', 'barang', 'gasampe']","['pesan', 'barang', 'gasampe']"
bed,bed,bed,['bed'],['bed'],['bed']
Lelet bgt sii mangkin gk enk deh,lelet bgt sii mangkin gk enk deh,lelet sangat  sii mangkin tidak enak  deh,"['lelet', 'sangat', 'sii', 'mangkin', 'tidak', 'enak', 'deh']","['lelet', 'sangat', 'sii', 'mangkin', 'tidak', 'enak', 'deh']","['lelet', 'sangat', 'sii', 'mangkin', 'tidak', 'enak', 'deh']"
PARAH ANYING AKUN SHOPEE AING MALAH DI BLOKIR DENGAN ALASAN GAJELAS !,parah anying akun shopee aing malah di blokir dengan alasan gajelas,parah anying akun shopee aing malah di blokir dengan alasan tidak jelas,"['parah', 'anying', 'akun', 'shopee', 'aing', 'malah', 'di', 'blokir', 'dengan', 'alasan', 'tidak', 'jelas']","['parah', 'anying', 'akun', 'shopee', 'aing', 'malah', 'blokir', 'alasan', 'tidak', 'jelas']","['parah', 'anying', 'akun', 'shopee', 'aing', 'malah', 'blokir', 'alas', 'tidak', 'jelas']"
kebanyakan update setiap update malah malin ga jelas malah makin lemot sistem loading nya buka karena jaringan tpi emang dri shoppe nya!!!,kebanyakan update setiap update malah malin ga jelas malah makin lemot sistem loading nya buka karena jaringan tpi emang dri shoppe nya,kebanyakan update setiap update malah malin tidak jelas malah makin lemot sistem loading nya buka karena jaringan tapi  memang  dari  shoppe nya,"['kebanyakan', 'update', 'setiap', 'update', 'malah', 'malin', 'tidak', 'jelas', 'malah', 'makin', 'lemot', 'sistem', 'loading', 'nya', 'buka', 'karena', 'jaringan', 'tapi', 'memang', 'dari', 'shoppe', 'nya']","['kebanyakan', 'update', 'update', 'malah', 'malin', 'tidak', 'jelas', 'malah', 'makin', 'lemot', 'sistem', 'loading', 'nya', 'buka', 'jaringan', 'memang', 'shoppe', 'nya']","['banyak', 'update', 'update', 'malah', 'malin', 'tidak', 'jelas', 'malah', 'makin', 'lot', 'sistem', 'loading', 'nya', 'buka', 'jaring', 'memang', 'shoppe', 'nya']"
"Transfer ke bank kena biaya 2500, katanya gratis",transfer ke bank kena biaya katanya gratis,transfer ke bank kena biaya katanya gratis,"['transfer', 'ke', 'bank', 'kena', 'biaya', 'katanya', 'gratis']","['transfer', 'bank', 'kena', 'biaya', 'katanya', 'gratis']","['transfer', 'bank', 'kena', 'biaya', 'kata', 'gratis']"
"Sorry nihh, kenapa untuk pencarian seperti pods, vape, dll tidak bisa di cari ya !!!! Tolong perbaiki dongs",sorry nihh kenapa untuk pencarian seperti pods vape dll tidak bisa di cari ya tolong perbaiki dongs,sorry nihh kenapa untuk pencarian seperti pods vape dan lain tidak bisa di cari ya tolong perbaiki dongs,"['sorry', 'nihh', 'kenapa', 'untuk', 'pencarian', 'seperti', 'pods', 'vape', 'dan', 'lain', 'tidak', 'bisa', 'di', 'cari', 'ya', 'tolong', 'perbaiki', 'dongs']","['sorry', 'nihh', 'pencarian', 'pods', 'vape', 'tidak', 'cari', 'perbaiki', 'dongs']","['sorry', 'nihh', 'cari', 'pods', 'vape', 'tidak', 'cari', 'baik', 'dongs']"
Tidak sesuai pesanan,tidak sesuai pesanan,tidak sesuai pesanan,"['tidak', 'sesuai', 'pesanan']","['tidak', 'sesuai', 'pesanan']","['tidak', 'sesuai', 'pesan']"
Aplikasi nya terlalu berat bngt dan lemot parah bngt,aplikasi nya terlalu berat bngt dan lemot parah bngt,aplikasi nya terlalu berat sangat  dan lemot parah sangat ,"['aplikasi', 'nya', 'terlalu', 'berat', 'sangat', 'dan', 'lemot', 'parah', 'sangat']","['aplikasi', 'nya', 'terlalu', 'berat', 'sangat', 'lemot', 'parah', 'sangat']","['aplikasi', 'nya', 'terlalu', 'berat', 'sangat', 'lot', 'parah', 'sangat']"
Nyesal gue dowloadnya..gk bisa sama sekali di buka yg ada muter muter trs..parah sihh buat yg mau download urungkan niatmu dekk.nanti nyesal,nyesal gue dowloadnya gk bisa sama sekali di buka yg ada muter muter trs parah sihh buat yg mau download urungkan niatmu dekk nanti nyesal,nyesal saya dowloadnya tidak bisa sama sekali di buka yang  ada muter muter terus  parah sihh buat yang  mau download urungkan niatmu dekk nanti nyesal,"['nyesal', 'saya', 'dowloadnya', 'tidak', 'bisa', 'sama', 'sekali', 'di', 'buka', 'yang', 'ada', 'muter', 'muter', 'terus', 'parah', 'sihh', 'buat', 'yang', 'mau', 'download', 'urungkan', 'niatmu', 'dekk', 'nanti', 'nyesal']","['nyesal', 'dowloadnya', 'tidak', 'sama', 'sekali', 'buka', 'muter', 'muter', 'terus', 'parah', 'sihh', 'buat', 'mau', 'download', 'urungkan', 'niatmu', 'dekk', 'nyesal']","['nyesal', 'dowloadnya', 'tidak', 'sama', 'sekali', 'buka', 'muter', 'muter', 'terus', 'parah', 'sihh', 'buat', 'mau', 'download', 'urung', 'niat', 'dekk', 'nyesal']"
"Jujur ini aplikasi semakin ke sini semakin gak jelas, sudah top up, mau isi pulsa malah keluar terus",jujur ini aplikasi semakin ke sini semakin gak jelas sudah top up mau isi pulsa malah keluar terus,jujur ini aplikasi semakin ke sini semakin tidak jelas sudah top up mau isi pulsa malah keluar terus,"['jujur', 'ini', 'aplikasi', 'semakin', 'ke', 'sini', 'semakin', 'tidak', 'jelas', 'sudah', 'top', 'up', 'mau', 'isi', 'pulsa', 'malah', 'keluar', 'terus']","['jujur', 'aplikasi', 'semakin', 'sini', 'semakin', 'tidak', 'jelas', 'top', 'up', 'mau', 'isi', 'pulsa', 'malah', 'keluar', 'terus']","['jujur', 'aplikasi', 'makin', 'sini', 'makin', 'tidak', 'jelas', 'top', 'up', 'mau', 'isi', 'pulsa', 'malah', 'keluar', 'terus']"
server jelek. konekdi kenceng di shopee jadi lemot,server jelek konekdi kenceng di shopee jadi lemot,server jelek konekdi kencang  di shopee jadi lemot,"['server', 'jelek', 'konekdi', 'kencang', 'di', 'shopee', 'jadi', 'lemot']","['server', 'jelek', 'konekdi', 'kencang', 'shopee', 'jadi', 'lemot']","['server', 'jelek', 'konekdi', 'kencang', 'shopee', 'jadi', 'lot']"
