content,data_clean_content,slang_replacement_content,tokenized_content,remove_stopwords_content,stemmed_content
"Kayaknya sekarang harus beralih ke aplikasi yg lain, sekarang shopee biaya penanganan codnya semakin naik.",kayaknya sekarang harus beralih ke aplikasi yg lain sekarang shopee biaya penanganan codnya semakin naik,kayaknya sekarang harus beralih ke aplikasi yang  lain sekarang shopee biaya penanganan codnya semakin naik,"['kayaknya', 'sekarang', 'harus', 'beralih', 'ke', 'aplikasi', 'yang', 'lain', 'sekarang', 'shopee', 'biaya', 'penanganan', 'codnya', 'semakin', 'naik']","['kayaknya', 'sekarang', 'beralih', 'aplikasi', 'sekarang', 'shopee', 'biaya', 'penanganan', 'codnya', 'semakin', 'naik']","['kayak', 'sekarang', 'alih', 'aplikasi', 'sekarang', 'shopee', 'biaya', 'tangan', 'codnya', 'makin', 'naik']"
Setelah di update jadi tidak bisa topup seabank via spay Aplikasi keluar tesrus tiap buka menu itu,setelah di update jadi tidak bisa topup seabank via spay aplikasi keluar tesrus tiap buka menu itu,setelah di update jadi tidak bisa topup seabank via spay aplikasi keluar tesrus tiap buka menu itu,"['setelah', 'di', 'update', 'jadi', 'tidak', 'bisa', 'topup', 'seabank', 'via', 'spay', 'aplikasi', 'keluar', 'tesrus', 'tiap', 'buka', 'menu', 'itu']","['update', 'jadi', 'tidak', 'topup', 'seabank', 'via', 'spay', 'aplikasi', 'keluar', 'tesrus', 'tiap', 'buka', 'menu']","['update', 'jadi', 'tidak', 'topup', 'seabank', 'via', 'spay', 'aplikasi', 'keluar', 'tesrus', 'tiap', 'buka', 'menu']"
"skarang pelit ongkir, pelit cashback & banyak biaya layanan. aplikasi juga makin lemot. sumpah gw pemakai lama apk ini makin ksini makin kcewa",skarang pelit ongkir pelit cashback banyak biaya layanan aplikasi juga makin lemot sumpah gw pemakai lama apk ini makin ksini makin kcewa,skarang pelit ongkir pelit cashback banyak biaya layanan aplikasi juga makin lemot sumpah saya pemakai lama apk ini makin ksini makin kcewa,"['skarang', 'pelit', 'ongkir', 'pelit', 'cashback', 'banyak', 'biaya', 'layanan', 'aplikasi', 'juga', 'makin', 'lemot', 'sumpah', 'saya', 'pemakai', 'lama', 'apk', 'ini', 'makin', 'ksini', 'makin', 'kcewa']","['skarang', 'pelit', 'ongkir', 'pelit', 'cashback', 'banyak', 'biaya', 'layanan', 'aplikasi', 'makin', 'lemot', 'sumpah', 'pemakai', 'lama', 'apk', 'makin', 'ksini', 'makin', 'kcewa']","['skarang', 'pelit', 'ongkir', 'pelit', 'cashback', 'banyak', 'biaya', 'layan', 'aplikasi', 'makin', 'lot', 'sumpah', 'pakai', 'lama', 'apk', 'makin', 'ksini', 'makin', 'kcewa']"
Kurang bagus saya kecewa sama pengiriman si cepat ekpres padahal dari kabupaten bekasi ke bekasi kota dan saya pesan di 2 toko bekasi kabupaten tetapi yg satunya melalui si cepat ekpress sampai sekarang terhitung 1 minggu g kekirim kirim terlalu bertele tele alesannya shope tolong kejelasannya paket saya dimana,kurang bagus saya kecewa sama pengiriman si cepat ekpres padahal dari kabupaten bekasi ke bekasi kota dan saya pesan di toko bekasi kabupaten tetapi yg satunya melalui si cepat ekpress sampai sekarang terhitung minggu g kekirim kirim terlalu bertele tele alesannya shope tolong kejelasannya paket saya dimana,kurang bagus saya kecewa sama pengiriman si cepat ekpres padahal dari kabupaten bekasi ke bekasi kota dan saya pesan di toko bekasi kabupaten tetapi yang  satunya melalui si cepat ekpress sampai sekarang terhitung minggu tidak kekirim kirim terlalu bertele tele alesannya shope tolong kejelasannya paket saya dimana,"['kurang', 'bagus', 'saya', 'kecewa', 'sama', 'pengiriman', 'si', 'cepat', 'ekpres', 'padahal', 'dari', 'kabupaten', 'bekasi', 'ke', 'bekasi', 'kota', 'dan', 'saya', 'pesan', 'di', 'toko', 'bekasi', 'kabupaten', 'tetapi', 'yang', 'satunya', 'melalui', 'si', 'cepat', 'ekpress', 'sampai', 'sekarang', 'terhitung', 'minggu', 'tidak', 'kekirim', 'kirim', 'terlalu', 'bertele', 'tele', 'alesannya', 'shope', 'tolong', 'kejelasannya', 'paket', 'saya', 'dimana']","['kurang', 'bagus', 'kecewa', 'sama', 'pengiriman', 'si', 'cepat', 'ekpres', 'padahal', 'kabupaten', 'bekasi', 'bekasi', 'kota', 'pesan', 'toko', 'bekasi', 'kabupaten', 'satunya', 'melalui', 'si', 'cepat', 'ekpress', 'sekarang', 'terhitung', 'minggu', 'tidak', 'kekirim', 'kirim', 'terlalu', 'bertele', 'tele', 'alesannya', 'shope', 'kejelasannya', 'paket']","['kurang', 'bagus', 'kecewa', 'sama', 'kirim', 'si', 'cepat', 'ekpres', 'padahal', 'kabupaten', 'bekas', 'bekas', 'kota', 'pesan', 'toko', 'bekas', 'kabupaten', 'satu', 'lalu', 'si', 'cepat', 'ekpress', 'sekarang', 'hitung', 'minggu', 'tidak', 'kirim', 'kirim', 'terlalu', 'tele', 'tele', 'alesannya', 'shope', 'jelas', 'paket']"
"Kenapa nii udah 2 hari setiap buka shope selalu ""kembali ke halaman utama""",kenapa nii udah hari setiap buka shope selalu kembali ke halaman utama,kenapa nii sudah hari setiap buka shope selalu kembali ke halaman utama,"['kenapa', 'nii', 'sudah', 'hari', 'setiap', 'buka', 'shope', 'selalu', 'kembali', 'ke', 'halaman', 'utama']","['nii', 'hari', 'buka', 'shope', 'selalu', 'halaman', 'utama']","['nii', 'hari', 'buka', 'shope', 'selalu', 'halaman', 'utama']"
Lagggggg,lag,lag,['lag'],['lag'],['lag']
tidak tersedia klaim voucher gratis ongkir dipenguna baru saya sangat kecewa,tidak tersedia klaim voucher gratis ongkir dipenguna baru saya sangat kecewa,tidak tersedia klaim voucher gratis ongkir dipenguna baru saya sangat kecewa,"['tidak', 'tersedia', 'klaim', 'voucher', 'gratis', 'ongkir', 'dipenguna', 'baru', 'saya', 'sangat', 'kecewa']","['tidak', 'tersedia', 'klaim', 'voucher', 'gratis', 'ongkir', 'dipenguna', 'baru', 'sangat', 'kecewa']","['tidak', 'sedia', 'klaim', 'voucher', 'gratis', 'ongkir', 'dipenguna', 'baru', 'sangat', 'kecewa']"
Kecewa sama spylater... Daftar berkali.. Kali ditolak terus.... Padahal saya menggunakan shopee sudah lama.,kecewa sama spylater daftar berkali kali ditolak terus padahal saya menggunakan shopee sudah lama,kecewa sama spylater daftar berkali kali ditolak terus padahal saya menggunakan shopee sudah lama,"['kecewa', 'sama', 'spylater', 'daftar', 'berkali', 'kali', 'ditolak', 'terus', 'padahal', 'saya', 'menggunakan', 'shopee', 'sudah', 'lama']","['kecewa', 'sama', 'spylater', 'daftar', 'berkali', 'kali', 'ditolak', 'terus', 'padahal', 'menggunakan', 'shopee', 'lama']","['kecewa', 'sama', 'spylater', 'daftar', 'kali', 'kali', 'tolak', 'terus', 'padahal', 'guna', 'shopee', 'lama']"
Barang barang yang dijual di aplikasi ini tidak sesuai dengan gambar yang diiklankan. Ini adalah suatu bentuk pembohongan publik. Seharusnya mereka terkena pasal undang undang ITE. Mereka berbondong-bondong membohongi publik masyarakat umum di Indonesia. Harus di tindaklanjuti laporan ini kepada pihak kepolisian..17:20 27 Desember 2022,barang barang yang dijual di aplikasi ini tidak sesuai dengan gambar yang diiklankan ini adalah suatu bentuk pembohongan publik seharusnya mereka terkena pasal undang undang ite mereka berbondong bondong membohongi publik masyarakat umum di indonesia harus di tindaklanjuti laporan ini kepada pihak kepolisian desember,barang barang yang dijual di aplikasi ini tidak sesuai dengan gambar yang diiklankan ini adalah suatu bentuk pembohongan publik seharusnya mereka terkena pasal undang undang ite mereka berbondong bondong membohongi publik masyarakat umum di indonesia harus di tindaklanjuti laporan ini kepada pihak kepolisian desember,"['barang', 'barang', 'yang', 'dijual', 'di', 'aplikasi', 'ini', 'tidak', 'sesuai', 'dengan', 'gambar', 'yang', 'diiklankan', 'ini', 'adalah', 'suatu', 'bentuk', 'pembohongan', 'publik', 'seharusnya', 'mereka', 'terkena', 'pasal', 'undang', 'undang', 'ite', 'mereka', 'berbondong', 'bondong', 'membohongi', 'publik', 'masyarakat', 'umum', 'di', 'indonesia', 'harus', 'di', 'tindaklanjuti', 'laporan', 'ini', 'kepada', 'pihak', 'kepolisian', 'desember']","['barang', 'barang', 'dijual', 'aplikasi', 'tidak', 'sesuai', 'gambar', 'diiklankan', 'suatu', 'bentuk', 'pembohongan', 'publik', 'terkena', 'pasal', 'undang', 'undang', 'ite', 'berbondong', 'bondong', 'membohongi', 'publik', 'masyarakat', 'umum', 'indonesia', 'tindaklanjuti', 'laporan', 'pihak', 'kepolisian', 'desember']","['barang', 'barang', 'jual', 'aplikasi', 'tidak', 'sesuai', 'gambar', 'iklan', 'suatu', 'bentuk', 'bohong', 'publik', 'kena', 'pasal', 'undang', 'undang', 'ite', 'bondong', 'bondong', 'bohong', 'publik', 'masyarakat', 'umum', 'indonesia', 'tindaklanjuti', 'lapor', 'pihak', 'polisi', 'desember']"
"sering ngelag, kesel",sering ngelag kesel,sering ngelag kesal ,"['sering', 'ngelag', 'kesal']","['sering', 'ngelag', 'kesal']","['sering', 'ngelag', 'kesal']"
